Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,270.3852,-193.6748,90,bottom
C2,0.1uF,C_0805_2012Metric,163.322,-166.4335,0,bottom
C4,0.1uF,C_0805_2012Metric,203.327,-168.529,-10,bottom
C6,0.1uF,C_0805_2012Metric,240.7285,-175.133,-10,bottom
C8,0.1uF,C_0805_2012Metric,295.3893,-176.82718,10,bottom
C9,0.1uF,C_0805_2012Metric,274.4492,-211.5564,-90,bottom
C10,0.1uF,C_0805_2012Metric,332.92796,-170.20286,10,bottom
C11,0.1uF,C_0805_2012Metric,280.088,-199.8724,0,bottom
C12,0.1uF,C_0805_2012Metric,372.53926,-166.41318,0,bottom
C13,0.1uF,C_0805_2012Metric,261.6476,-206.1716,180,bottom
C14,0.1uF,C_0805_2012Metric,420.37,-166.37,0,bottom
C15,10uF,C_0805_2012Metric,265.1528,-193.6748,90,bottom
C17,0.1uF,C_0805_2012Metric,168.006,-185.42,0,bottom
C19,0.1uF,C_0805_2012Metric,209.2325,-188.9125,-10,bottom
C21,0.1uF,C_0805_2012Metric,246.761,-195.5165,-10,bottom
C23,0.1uF,C_0805_2012Metric,308.27726,-193.89598,10,bottom
C25,0.1uF,C_0805_2012Metric,345.73464,-187.29198,10,bottom
C27,0.1uF,C_0805_2012Metric,386.99186,-185.46064,0,bottom
C29,0.1uF,C_0805_2012Metric,430.24552,-185.63844,0,bottom
C33,0.1uF,C_0805_2012Metric,170.8785,-204.47,0,bottom
C35,0.1uF,C_0805_2012Metric,210.82,-208.534,-10,bottom
C37,0.1uF,C_0805_2012Metric,248.3485,-215.138,-10,bottom
C39,0.1uF,C_0805_2012Metric,316.20206,-211.85124,10,bottom
C41,0.1uF,C_0805_2012Metric,353.68484,-205.22184,10,bottom
C43,0.1uF,C_0805_2012Metric,393.76858,-204.51318,0,bottom
C44,0.1uF,C_0805_2012Metric,424.67022,-204.50556,0,bottom
C47,0.1uF,C_0805_2012Metric,177.4825,-223.56064,0,bottom
C49,0.1uF,C_0805_2012Metric,216.9795,-228.981,-10,bottom
C51,0.1uF,C_0805_2012Metric,249.1105,-234.696,-10,bottom
C53,0.1uF,C_0805_2012Metric,310.06288,-232.27284,10,bottom
C55,0.1uF,C_0805_2012Metric,347.6244,-225.65106,10,bottom
C57,0.1uF,C_0805_2012Metric,387.1722,-223.5581,0,bottom
C59,0.1uF,C_0805_2012Metric,444.19012,-228.31806,0,bottom
C61,0.1uF,C_0805_2012Metric,160.7185,-242.57,0,bottom
C64,0.1uF,C_0805_2012Metric,311.01792,-251.44476,10,bottom
C65,0.1uF,C_0805_2012Metric,343.83726,-245.66626,10,bottom
C67,0.1uF,C_0805_2012Metric,398.95018,-242.6335,0,bottom
C69,0.1uF,C_0805_2012Metric,444.17234,-247.42394,0,bottom
C70,0.1uF,C_0805_2012Metric,463.30362,-247.44172,0,bottom
D_1,D,D_SOD-123_copy,152.66924,-162.17138,90,bottom
D_2,D,D_SOD-123_copy,171.6151,-162.41522,90,bottom
D_3,D,D_SOD-123_copy,193.61404,-162.9029,80,bottom
D_4,D,D_SOD-123_copy,212.23224,-165.62832,80,bottom
D_5,D,D_SOD-123_copy,230.93934,-169.33164,80,bottom
D_6,D,D_SOD-123_copy,249.555,-173.228,80,bottom
D_7,D,D_SOD-123_copy,268.2875,-176.5935,80,bottom
D_8,D,D_SOD-123_copy,302.87468,-170.8404,100,bottom
D_9,D,D_SOD-123_copy,321.63766,-167.64,100,bottom
D_10,D,D_SOD-123_copy,340.40318,-164.43198,100,bottom
D_11,D,D_SOD-123_copy,359.03154,-160.29432,100,bottom
D_12,D,D_SOD-123_copy,381.11684,-161.20364,90,bottom
D_13,D,D_SOD-123_copy,400.18462,-162.16122,90,bottom
D_14,D,D_SOD-123_copy,437.02732,-162.17646,90,bottom
D_15,D,D_SOD-123_copy,461.64246,-161.58972,90,bottom
D_16,D,D_SOD-123_copy,152.527,-181.483,90,bottom
D_17,D,D_SOD-123_copy,176.34458,-180.39842,90,bottom
D_18,D,D_SOD-123_copy,199.56018,-182.70728,80,bottom
D_19,D,D_SOD-123_copy,218.26982,-186.28614,80,bottom
D_20,D,D_SOD-123_copy,237.06074,-189.53734,80,bottom
D_21,D,D_SOD-123_copy,255.7145,-193.2305,80,bottom
D_22,D,D_SOD-123_copy,296.77614,-191.09944,100,bottom
D_23,D,D_SOD-123_copy,315.56706,-188.0235,100,bottom
D_24,D,D_SOD-123_copy,334.25638,-184.32272,100,bottom
D_25,D,D_SOD-123_copy,352.95332,-180.64226,100,bottom
D_26,D,D_SOD-123_copy,376.40514,-181.2036,90,bottom
D_27,D,D_SOD-123_copy,395.43736,-181.20614,90,bottom
D_28,D,D_SOD-123_copy,414.4645,-180.27142,90,bottom
D_29,D,D_SOD-123_copy,438.31256,-181.21376,90,bottom
D_30,D,D_SOD-123_copy,466.41766,-180.52034,90,bottom
D_31,D,D_SOD-123_copy,153.17724,-199.5043,90,bottom
D_33,D,D_SOD-123_copy,179.13604,-200.24344,90,bottom
D_34,D,D_SOD-123_copy,200.787,-203.1365,80,bottom
D_35,D,D_SOD-123_copy,219.77604,-205.26248,80,bottom
D_36,D,D_SOD-123_copy,238.3155,-209.4865,80,bottom
D_37,D,D_SOD-123_copy,257.048,-213.106,80,bottom
D_38,D,D_SOD-123_copy,304.80254,-209.25282,100,bottom
D_39,D,D_SOD-123_copy,323.39788,-205.232,100,bottom
D_40,D,D_SOD-123_copy,342.40216,-203.0476,100,bottom
D_41,D,D_SOD-123_copy,361.0483,-198.9201,100,bottom
D_42,D,D_SOD-123_copy,383.04724,-199.73798,90,bottom
D_43,D,D_SOD-123_copy,402.10486,-200.24852,90,bottom
D_44,D,D_SOD-123_copy,441.30976,-200.81494,90,bottom
D_45,D,D_SOD-123_copy,471.05824,-199.7456,90,bottom
D_46,D,D_SOD-123_copy,163.195,-219.566546,90,bottom
D_47,D,D_SOD-123_copy,185.928,-219.583,90,bottom
D_48,D,D_SOD-123_copy,206.98714,-222.85452,80,bottom
D_49,D,D_SOD-123_copy,225.73488,-226.35718,80,bottom
D_50,D,D_SOD-123_copy,244.51818,-229.6668,80,bottom
D_51,D,D_SOD-123_copy,263.144,-233.4895,80,bottom
D_52,D,D_SOD-123_copy,298.68368,-229.49408,100,bottom
D_53,D,D_SOD-123_copy,317.30696,-225.80092,100,bottom
D_54,D,D_SOD-123_copy,336.31886,-223.43364,100,bottom
D_55,D,D_SOD-123_copy,355.0539,-219.8497,100,bottom
D_56,D,D_SOD-123_copy,376.38482,-218.96324,90,bottom
D_57,D,D_SOD-123_copy,395.34084,-219.33916,90,bottom
D_58,D,D_SOD-123_copy,421.6146,-219.32138,90,bottom
D_59,D,D_SOD-123_copy,452.57466,-224.0661,90,bottom
D_60,D,D_SOD-123_copy,145.415,-238.5568,90,bottom
D_61,D,D_SOD-123_copy,169.1005,-238.5695,90,bottom
D_62,D,D_SOD-123_copy,210.566,-243.6495,80,bottom
D_63,D,D_SOD-123_copy,257.2385,-251.1425,80,bottom
D_64,D,D_SOD-123_copy,326.77608,-243.77904,100,bottom
D_65,D,D_SOD-123_copy,351.28962,-239.73282,100,bottom
D_66,D,D_SOD-123_copy,383.55778,-238.49076,90,bottom
D_67,D,D_SOD-123_copy,407.3525,-238.35614,90,bottom
D_68,D,D_SOD-123_copy,433.45354,-243.10594,90,bottom
D_69,D,D_SOD-123_copy,452.4883,-243.18976,90,bottom
D_70,D,D_SOD-123_copy,471.58148,-243.30152,90,bottom
F1,500mA,Fuse_1206_3216Metric,276.3875,-154.467,0,bottom
R1,10k,R_0805_2012Metric,279.326,-196.9768,90,bottom
R2,5.1k,R_0805_2012Metric,269.974,-153.832,0,bottom
R3,5.1k,R_0805_2012Metric,282.674,-153.832,180,bottom
R4,22,R_0805_2012Metric,269.8684,-189.5981,90,bottom
R5,22,R_0805_2012Metric,267.8872,-189.5981,90,bottom
R6,10k,R_0805_2012Metric,266.2704,-211.3024,90,bottom
R7,510 ohm,R_0805_2012Metric,440.62396,-158.39694,90,bottom
SW1,SW_Push,SKQG-1155865,275.96592,-226.90074,-170,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,270.8932,-202.4886,-90,bottom
U2,SRV05-4,SOT-23-6,276.324,-157.5658,0,bottom
Y1,16MHz,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering_Compact,281.5844,-202.75804,90,bottom
